"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"UB-CERL2","C11","J.2","1 item 53"
"UB-CERL2","CERT-C","ARR36-C",""
"UB-CERL3","C11","6.5.8","5"
"UB-CERL3","C11","J.2","1 item 53"
"UB-CERL3","CERT-C","ARR36-C",""
"UB-CERL4","C11","6.5.8","5"
"UB-CERL4","C11","J.2","1 item 53"
"UB-CERL4","CERT-C","ARR36-C",""
"UB-CERL6","C11","6.5.8","5"
"UB-CERL6","C11","J.2","1 item 53"
"UB-CERL6","CERT-C","ARR36-C",""
"UB-CID2","C11","6.3.2.1","1"
"UB-CID2","C11","J.2","1 item 19"
"UB-CID2","CERT-C","DCL31-C",""
"UB-CMW1","C11","6.4.5","7"
"UB-CMW1","C11","J.2","1 item 33"
"UB-CMW1","CERT-C","STR30-C",""
"UB-CTI1","C11","6.6","6"
"UB-CTI1","C11","J.2","1 item 55"
"UB-CTI1","CERT-C","MSC15-C",""
"UB-CTM1","C11","6.7.6.2","5"
"UB-CTM1","C11","J.2","1 item 75"
"UB-CTM1","CERT-C","ARR32-C",""
"UB-ECL3","C11","6.7.3.1","4"
"UB-ECL3","C11","J.2","1 item 68"
"UB-ECL3","CERT-C","EXP43-C",""
"UB-ECL4","C11","6.7.3.1","4"
"UB-ECL4","C11","J.2","1 item 68"
"UB-ECL4","CERT-C","EXP43-C",""
"UB-EEA1","C11","6.5.16.1","3"
"UB-EEA1","C11","J.2","1 item 54"
"UB-EEA1","CERT-C","MSC15-C",""
"UB-EEA2","C11","6.7.3.1","4"
"UB-EEA2","C11","J.2","1 item 69"
"UB-EEA2","CERT-C","EXP43-C",""
"UB-EEA3","C11","6.7.3.1","4"
"UB-EEA3","C11","J.2","1 item 69"
"UB-EEA3","CERT-C","EXP43-C",""
"UB-EEA4","C11","6.7.6.3","7"
"UB-EEA4","C11","J.2","1 item 77"
"UB-EEA4","CERT-C","MSC15-C",""
"UB-EEA5","C11","6.7.6.3","7"
"UB-EEA5","C11","J.2","1 item 77"
"UB-EEA5","CERT-C","MSC15-C",""
"UB-EEC1","C11","6.7.6.2","6"
"UB-EEC1","CERT-C","MSC15-C",""
"UB-EFNC1","C11","6.5.2.2","9"
"UB-EFNC1","C11","J.2","1 items 26 and 41"
"UB-EFNC1","CERT-C","DCL40-C",""
"UB-EFNC1","CERT-C","EXP37-C",""
"UB-EFNC2","C11","6.5.2.2",""
"UB-EFNC2","CERT-C","ERR33-C",""
"UB-EFNC2","CERT-C","EXP34-C",""
"UB-EIO10","C11","6.5","7"
"UB-EIO10","C11","J.2","1 item 37"
"UB-EIO10","CERT-C","EXP39-C",""
"UB-EIO2","C11","6.5.6","8"
"UB-EIO2","C11","J.2","1 items 47 and 49"
"UB-EIO2","CERT-C","ARR30-C",""
"UB-EIO2","CERT-C","ARR37-C",""
"UB-EIO2","CERT-C","MEM35-C",""
"UB-EIO2","CERT-C","STR31-C",""
"UB-EIO3","C11","6.7.3","6"
"UB-EIO3","C11","J.2","1 item 64"
"UB-EIO3","CERT-C","EXP05-C",""
"UB-EIO3","CERT-C","EXP40-C",""
"UB-EIO4","C11","6.7.3","6"
"UB-EIO4","C11","J.2","1 item 65"
"UB-EIO4","CERT-C","EXP32-C",""
"UB-EIO7","C11","6.3.2.1","1"
"UB-EIO7","C11","J.2","1 item 19"
"UB-EIO7","CERT-C","ARR30-C",""
"UB-EIO7","CERT-C","ARR37-C",""
"UB-EIO7","CERT-C","STR31-C",""
"UB-EIO7","CERT-C","STR32-C",""
"UB-EIO8","C11","6.5","2"
"UB-EIO8","C11","J.2","1 item 35"
